
project<,>/ˈprɒdʒekt/<,>/ˈprɑːdʒekt/<,>n.工程/n.课题/n.作业<,>The new highway project will start next month.<,>新的高速公路工程将于下个月开工。<,>Our group is working on a science project.<,>我们小组正在做一个科学课题。<,>She spent all weekend finishing her art project.<,>她花了整个周末完成她的美术作业。<,>pro(向前)+ject(投掷)→向前投→规划的项目<,>reject(v.拒绝)/inject(v.注射)/object(n.物体)
awareness<,>/əˈweənəs/<,>/əˈwernəs/<,>n.意识<,>Public awareness of environmental issues has increased.<,>公众对环境问题的意识提高了。<,>The campaign aims to raise awareness about mental health.<,>该活动旨在提高人们对心理健康的认识。<,>She has no awareness of her own mistakes.<,>她没有意识到自己的错误。<,>a(加强)+ware(注意)+ness(名词后缀)→注意的状态→意识<,>beware(v.当心)/unaware(adj.未意识到的)

exhaust<,>/ɪɡˈzɔːst/<,>/ɪɡˈzɔːst/<,>v.使筋疲力尽<,>The long hike exhausted all the children.<,>长途远足使所有孩子都筋疲力尽。<,>Don't exhaust yourself by working too hard.<,>不要工作太辛苦而累坏自己。<,>The marathon runners were completely exhausted at the finish line.<,>马拉松选手在终点线时已经完全筋疲力尽了。<,>ex(出)+haust(抽)→把力气抽出来→使筋疲力尽<,>exhaust(n.废气)/exhaustive(adj.彻底的)/exhaustion(n.疲惫)
subsidize<,>/ˈsʌbsɪdaɪz/<,>/ˈsʌbsɪˌdaɪz/<,>v.提供补贴<,>The government plans to subsidize renewable energy projects.<,>政府计划为可再生能源项目提供补贴。<,>Farmers are often subsidized to keep food prices stable.<,>农民经常获得补贴以保持食品价格稳定。<,>Some companies are subsidized to encourage innovation.<,>一些公司获得补贴以鼓励创新。<,>sub(下)+sid(坐)+ize(动词后缀)→在下面支持→补贴<,>subsidy(n.补贴)/subside(v.平息)/residue(n.残余)

grocery<,>/ˈɡrəʊsəri/<,>/ˈɡroʊsəri/<,>n.杂货店<,>I need to stop by the grocery to buy some milk.<,>我需要去杂货店买些牛奶。<,>She works part-time at a local grocery.<,>她在当地一家杂货店兼职。<,>Online groceries are becoming more popular.<,>网上杂货店越来越受欢迎。<,>groc(大量)+ery(场所)→卖大量商品的地方→杂货店<,>grocer(n.杂货商)/gross(adj.总的)/glory(n.荣耀)

ignorance<,>/ˈɪɡnərəns/<,>/ˈɪɡnərəns/<,>n.无知/愚昧<,>Ignorance of the law is no excuse.<,>对法律的无知不能成为借口。<,>His ignorance about the topic was surprising.<,>他对这个话题的无知令人惊讶。<,>Education helps to reduce ignorance.<,>教育有助于减少无知。<,>ig(不)+nor(知道)+ance(名词后缀)→不知道→无知<,>ignore(v.忽视)/ignoramus(n.无知的人)/arrogance(n.傲慢)

intelligence<,>/ɪnˈtelɪdʒəns/<,>/ɪnˈtelɪdʒəns/<,>n.智力/智慧/理解力<,>Artificial intelligence is changing our world.<,>人工智能正在改变我们的世界。<,>She has remarkable emotional intelligence.<,>她有出色的情商。<,>The spy gathered military intelligence.<,>间谍收集了军事情报。<,>intel(在...之间)+lig(选择)+ence→在信息间选择的能力→智力<,>intellect(n.智力)/intelligent(adj.聪明的)/intelligentsia(n.知识分子)

tiny<,>/ˈtaɪni/<,>/ˈtaɪni/<,>adj.微小的<,>She found a tiny shell on the beach.<,>她在海滩上发现了一个微小的贝壳。<,>The apartment has a tiny kitchen.<,>这套公寓有个小厨房。<,>There's a tiny chance of rain tomorrow.<,>明天下雨的几率很小。<,>tin(锡)+y→像锡粒一样小→微小的<,>teeny(adj.极小的)/tinny(adj.金属声的)/tinge(n.微量)

praise<,>/preɪz/<,>/preɪz/<,>v.赞扬/赞美<,>The teacher praised her for excellent work.<,>老师表扬她作业完成得出色。<,>He received praise from his colleagues.<,>他得到了同事的赞扬。<,>Praise can motivate children to learn.<,>表扬能激励孩子学习。<,>prais(价值)+e→给予价值评价→赞扬<,>appraise(v.评估)/prize(n.奖品)/phrase(n.短语)

memorize<,>/ˈmeməraɪz/<,>/ˈmeməˌraɪz/<,>v.熟记/牢记<,>Students need to memorize multiplication tables.<,>学生需要熟记乘法表。<,>He memorized all the lines for the play.<,>他背下了剧本的所有台词。<,>It's easier to memorize information in chunks.<,>分块记忆信息更容易。<,>memor(记忆)+ize(使)→使记忆→牢记<,>memory(n.记忆)/memorial(adj.纪念的)/memorandum(n.备忘录)

relative<,>/ˈrelətɪv/<,>/ˈrelətɪv/<,>adj.相对的/n.亲戚<,>All things are relative in physics.<,>在物理学中，一切都是相对的。<,>She visited her relatives during the holidays.<,>假期里她拜访了亲戚。<,>The price is relative to the quality.<,>价格与质量相关。<,>relat(关系)+ive→有关系的→相对的/亲戚<,>relation(n.关系)/relativity(n.相对性)/correlative(adj.相关的)

breakthrough<,>/ˈbreɪkθruː/<,>/ˈbreɪkˌθru/<,>n.突破<,>Scientists made a major breakthrough in cancer research.<,>科学家在癌症研究方面取得了重大突破。<,>The new drug represents a medical breakthrough.<,>这种新药代表了一项医学突破。<,>Her invention was a technological breakthrough.<,>她的发明是一项技术突破。<,>break(打破)+through(通过)→打破障碍通过→突破<,>breakup(n.分手)/breakdown(n.故障)/breakout(n.爆发)

incidence<,>/ˈɪnsɪdəns/<,>/ˈɪnsɪdəns/<,>n.几率/发生率<,>The incidence of flu increases in winter.<,>冬季流感发生率上升。<,>Researchers studied the incidence of the disease.<,>研究人员研究了这种疾病的发生率。<,>There's a high incidence of accidents at this intersection.<,>这个十字路口事故发生率很高。<,>in(上)+cid(落下)+ence→落在某范围的情况→发生率<,>incident(n.事件)/coincidence(n.巧合)/accident(n.事故)
scratch<,>/skrætʃ/<,>/skrætʃ/<,>n.抓/n.划痕<,>There's a scratch on my new phone.<,>我的新手机上有一道划痕。<,>The cat gave me a scratch when I tried to pet it.<,>当我试图抚摸那只猫时，它抓了我一下。<,>He heard a scratch at the door.<,>他听到门口有抓挠声。<,>s(蛇)+cratch(catch抓)→蛇抓→抓痕<,>snatch(v.抢夺/n.片段)/sketch(n.草图/v.素描)  

harmful<,>/ˈhɑːmfl/<,>/ˈhɑːrmfl/<,>adj.有害的<,>Smoking is harmful to your health.<,>吸烟有害健康。<,>These chemicals can be harmful to the environment.<,>这些化学物质对环境有害。<,>Too much screen time is harmful to children's eyes.<,>过多的屏幕时间对孩子的眼睛有害。<,>harm(伤害)+ful(形容词后缀)→造成伤害的<,>harmless(adj.无害的)/hurtful(adj.伤感情的)  

undergo<,>/ˌʌndəˈɡəʊ/<,>/ˌʌndərˈɡoʊ/<,>v.承受/v.经历<,>She had to undergo surgery last week.<,>她上周不得不接受手术。<,>The company is undergoing major changes.<,>公司正在经历重大变革。<,>This material can undergo extreme temperatures.<,>这种材料能承受极端温度。<,>under(在...下)+go(走)→在困境中前行→承受<,>underline(v.强调)/undertake(v.承担)  

recession<,>/rɪˈseʃn/<,>/rɪˈseʃn/<,>n.衰退/n.经济萧条<,>The country is in an economic recession.<,>该国正处于经济衰退中。<,>Many businesses closed during the recession.<,>许多企业在经济衰退期间倒闭了。<,>The recession caused widespread unemployment.<,>经济衰退导致大规模失业。<,>re(回)+cess(走)+ion→经济后退→衰退<,>concession(n.让步)/procession(n.行列)  

extraordinary<,>/ɪkˈstrɔːdnri/<,>/ɪkˈstrɔːrdəneri/<,>adj.非凡的/adj.特别的<,>She has an extraordinary talent for music.<,>她在音乐方面有非凡的天赋。<,>The team made extraordinary efforts to finish the project.<,>团队为完成项目付出了非凡的努力。<,>It was an extraordinary coincidence that we met there.<,>我们在那里相遇真是个特别的巧合。<,>extra(超出)+ordinary(普通)→超出普通→非凡的<,>ordinary(adj.普通的)/extraterrestrial(adj.外星球的)  

improper<,>/ɪmˈprɒpə(r)/<,>/ɪmˈprɑːpər/<,>adj.不合适的/adj.不适当的<,>It would be improper to discuss this matter here.<,>在这里讨论这件事不合适。<,>He was fired for improper conduct at work.<,>他因工作中的不当行为被解雇。<,>Wearing shorts to the wedding is considered improper.<,>穿短裤参加婚礼被认为是不合适的。<,>im(不)+proper(适当)→不适当的<,>proper(adj.适当的)/improve(v.改进)  

marginalize<,>/ˈmɑːdʒɪnəlaɪz/<,>/ˈmɑːrdʒɪnəlaɪz/<,>v.边缘化/v.排斥<,>The new policy may marginalize minority groups.<,>新政策可能会边缘化少数群体。<,>Some students feel marginalized in the classroom.<,>有些学生在课堂上感到被排斥。<,>We should not marginalize people with disabilities.<,>我们不应该排斥残障人士。<,>margin(边缘)+alize(使...化)→使边缘化<,>centralize(v.集中)/minimize(v.最小化)  

vital<,>/ˈvaɪtl/<,>/ˈvaɪtl/<,>adj.重要的/adj.必不可少的<,>Water is vital for all living things.<,>水对所有生物都至关重要。<,>This document contains vital information.<,>这份文件包含重要信息。<,>Regular exercise is vital to maintaining good health.<,>定期锻炼对保持健康至关重要。<,>vit(生命)+al→与生命有关的→重要的<,>vitality(n.活力)/fatal(adj.致命的)  

fortunately<,>/ˈfɔːtʃənətli/<,>/ˈfɔːrtʃənətli/<,>adv.幸运地<,>Fortunately, no one was hurt in the accident.<,>幸运的是，事故中没有人受伤。<,>I forgot my umbrella, but fortunately it didn't rain.<,>我忘了带伞，但幸运的是没有下雨。<,>Fortunately, we arrived just in time for the show.<,>幸运的是，我们刚好赶上演出。<,>fortunate(幸运的)+ly(副词后缀)→幸运地<,>unfortunately(adv.不幸地)/fortune(n.运气)  

commencement<,>/kəˈmensmənt/<,>/kəˈmensmənt/<,>n.毕业典礼/n.开始<,>The commencement will be held in the main auditorium.<,>毕业典礼将在主礼堂举行。<,>She gave a speech at her son's commencement.<,>她在儿子的毕业典礼上发表了演讲。<,>This marks the commencement of a new era.<,>这标志着一个新时代的开始。<,>com(共同)+mence(开始)+ment→大家一起开始的仪式→毕业典礼<,>commend(v.称赞)/comment(n.评论)
fetch<,>/fetʃ/<,>/fɛtʃ/<,>v.取回<,>Could you fetch me a glass of water?<,>你能帮我拿杯水吗？<,>The dog fetched the ball and brought it back.<,>狗狗叼回了球。<,>She fetched her coat from the closet.<,>她从衣柜里取出外套。<,>谐音“飞驰”→快速取回<,>catch(v.抓住)/match(n.比赛/v.匹配)  

clumsy<,>/ˈklʌmzi/<,>/ˈklʌmzi/<,>adj.笨拙的/adj.不圆滑的<,>He dropped the vase because of his clumsy hands.<,>他笨手笨脚地把花瓶摔了。<,>Her clumsy apology made things worse.<,>她生硬的道歉让事情更糟。<,>The clumsy panda tripped over its own feet.<,>笨拙的熊猫被自己绊倒了。<,>clum(谐音“卡壳”)+sy→卡壳的样子→笨拙<,>clump(n.丛/v.形成丛)/gloomy(adj.阴暗的)  

establishment<,>/ɪˈstæblɪʃmənt/<,>/əˈstæblɪʃmənt/<,>n.确立/n.机构<,>The establishment of new laws took three years.<,>新法律的制定花了三年。<,>This restaurant is a well-known establishment.<,>这家餐厅是知名老店。<,>He opposed the political establishment.<,>他反对当权派。<,>establish(建立)+ment(名词后缀)<,>accomplishment(n.成就)/settlement(n.解决)  

emit<,>/iˈmɪt/<,>/ɪˈmɪt/<,>v.发出/v.排出<,>The machine emits a strange noise.<,>机器发出怪声。<,>Volcanoes emit sulfur dioxide.<,>火山喷发二氧化硫。<,>Her eyes emitted a warm glow.<,>她眼中流露出温暖的光芒。<,>e(出)+mit(送)→送出去→发出<,>omit(v.省略)/admit(v.承认)  

entertaining<,>/ˌentəˈteɪnɪŋ/<,>/ˌɛntɚˈtenɪŋ/<,>adj.有趣的/adj.使人愉快的<,>The magician gave an entertaining performance.<,>魔术师的表演很有趣。<,>This book is both educational and entertaining.<,>这本书寓教于乐。<,>His jokes were highly entertaining.<,>他的笑话特别逗乐。<,>entertain(娱乐)+ing→娱乐的<,>interesting(adj.有趣的)/amusing(adj.逗笑的)  

irregular<,>/ɪˈreɡjələ(r)/<,>/ɪˈrɛɡjəlɚ/<,>adj.不规律的/adj.不规则的<,>Her heartbeat was irregular.<,>她的心跳不规律。<,>These shoes have irregular shapes.<,>这些鞋子形状不规则。<,>He works irregular hours.<,>他的工作时间不固定。<,>ir(不)+regular(规则的)→不规则的<,>regular(adj.规则的)/illegal(adj.非法的)  

psychologist<,>/saɪˈkɒlədʒɪst/<,>/saɪˈkɑːlədʒɪst/<,>n.心理学家<,>The psychologist studied human behavior.<,>心理学家研究人类行为。<,>She consulted a child psychologist.<,>她咨询了儿童心理专家。<,>Famous psychologists often write books.<,>著名心理学家常著书立说。<,>psycho(心理)+logist(学者)→心理学者<,>psychiatrist(n.精神科医生)/physiologist(n.生理学家)  

era<,>/ˈɪərə/<,>/ˈɪrə/<,>n.纪元/n.年代<,>The dinosaur era ended millions of years ago.<,>恐龙时代结束于数百万年前。<,>We live in the digital era.<,>我们生活在数字时代。<,>The Victorian era saw many changes.<,>维多利亚时代经历了许多变革。<,>对比“area(区域)”少一个a→划分时间的区域<,>epoch(n.纪元)/age(n.时代)  

triumph<,>/ˈtraɪʌmf/<,>/ˈtraɪəmf/<,>n.胜利<,>Their triumph was celebrated nationwide.<,>他们的胜利举国欢庆。<,>The vaccine was a medical triumph.<,>该疫苗是医学上的胜利。<,>She smiled in triumph.<,>她露出胜利的微笑。<,>tri(三)+umph(拟声欢呼)→三次欢呼→胜利<,>trumpet(n.小号)/trophy(n.奖杯)  

detection<,>/dɪˈtekʃn/<,>/dɪˈtɛkʃən/<,>n.侦查/n.察觉<,>Early detection of cancer saves lives.<,>癌症早期检测能救命。<,>The detection of lies requires skill.<,>识破谎言需要技巧。<,>Smoke detection systems are mandatory.<,>烟雾探测系统是强制安装的。<,>de(去掉)+tect(覆盖)+ion→揭开覆盖→察觉<,>inspection(n.检查)/protection(n.保护)
cozy<,>/ˈkəʊzi/<,>/ˈkoʊzi/<,>adj.舒适的<,>The blanket is so cozy that I fell asleep immediately.<,>这条毯子太舒适了，我立刻就睡着了。<,>She made a cozy corner for reading in her room.<,>她在房间里布置了一个舒适的阅读角。<,>On winter nights, we sit by the cozy fireplace.<,>冬夜里，我们坐在舒适的壁炉旁。<,>联想：couch（沙发）+ lazy（懒散的）→ 躺在沙发上懒散的状态→舒适的<,>comfy（adj.舒服的）/toasty（adj.温暖舒适的）/snug（adj.温暖舒适的）  

gallery<,>/ˈɡæləri/<,>/ˈɡæləri/<,>n.美术馆<,>We visited the National Gallery last weekend.<,>我们上周末参观了国家美术馆。<,>The gallery exhibits works by young artists.<,>这个美术馆展出了年轻艺术家的作品。<,>She works as a curator in an art gallery.<,>她在一家艺术画廊担任策展人。<,>gall（走廊）+ ery（场所）→ 展示艺术的长廊→美术馆<,>museum（n.博物馆）/exhibition（n.展览）/studio（n.工作室）  

enormous<,>/ɪˈnɔːməs/<,>/ɪˈnɔːrməs/<,>adj.巨大的<,>An enormous elephant stood near the tree.<,>一头巨大的大象站在树旁。<,>They made an enormous effort to complete the project.<,>他们付出了巨大的努力来完成这个项目。<,>The cake was enormous, enough for fifty people.<,>这个蛋糕巨大，足够五十个人吃。<,>e（出）+ norm（标准）+ ous（…的）→超出标准的→巨大的<,>immense（adj.极大的）/gigantic（adj.巨大的）/tremendous（adj.极大的）  

obtain<,>/əbˈteɪn/<,>/əbˈteɪn/<,>v.获得<,>He obtained a scholarship to study abroad.<,>他获得了出国留学的奖学金。<,>This information is difficult to obtain.<,>这个信息很难获得。<,>You need to obtain permission before entering.<,>进入前你需要获得许可。<,>ob（加强）+ tain（拿住）→ 拿到→获得<,>attain（v.达到）/retain（v.保留）/abstain（v.戒除）  

desert<,>/dɪˈzɜːt/<,>/dɪˈzɜːrt/<,>v.抛弃<,>He deserted his family and went abroad.<,>他抛弃了家人去了国外。<,>The soldier was punished for deserting his post.<,>这名士兵因擅离职守而受到惩罚。<,>Many plants can survive in the desert.<,>许多植物能在沙漠中生存。<,>de（去掉）+ sert（加入）→ 不再加入→抛弃<,>dessert（n.甜点）/deserted（adj.荒废的）/deserter（n.逃兵）  
